epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.852,1.10256,1.86674,1.16079,0.731,0.67133,0.69838,0.44316,1.14695,1.72979,1.21709,0.000664073,0.000664073,0.000664073
2,1257.83,1.1424,1.36357,1.19551,0.79619,0.67387,0.73422,0.49119,1.11108,1.27296,1.16648,0.000891595,0.000891595,0.000891595
3,1897.07,1.05229,1.16713,1.15119,0.84083,0.72982,0.80105,0.56794,0.97621,0.98099,1.10052,0.000679118,0.000679118,0.000679118
